query,complexity
Order groceries from my favorites.,medium
Turn on the living room lights please.,simple
Summarize the last 5 emails from Sarah and upload to OneDrive please.,complex
What’s the weather today? please.,simple
Play relaxing music please.,simple
What’s the weather today?,simple
Draft an email based on the last conversation notes and send it to the VP.,complex
Schedule a dentist appointment next Friday please.,medium
Draft an email based on the last conversation notes and send it to the VP.,complex
Schedule a dentist appointment next Friday please.,medium
Generate a report from SQL for Q1 and email it to the CFO.,complex
Play relaxing music.,simple
Play relaxing music.,simple
Create a to-do list for project launch please.,medium
Send an email to my boss about the team update please.,medium
Summarize the last 5 emails from Sarah and upload to OneDrive.,complex
Tell me a joke please.,simple
Set a timer for 10 minutes.,simple
Set a timer for 10 minutes please.,simple
Order groceries from my favorites.,medium
Schedule a dentist appointment next Friday please.,medium
Schedule a dentist appointment next Friday please.,medium
Prepare a slide deck for Monday's meeting using this week's data.,complex
Schedule a dentist appointment next Friday.,medium
Tell me a joke please.,simple
Play relaxing music please.,simple
Play relaxing music.,simple
Draft an email based on the last conversation notes and send it to the VP.,complex
Tell me a joke.,simple
Order groceries from my favorites.,medium
Play relaxing music please.,simple
Schedule a dentist appointment next Friday.,medium
Create a to-do list for project launch.,medium
Order groceries from my favorites please.,medium
Schedule a dentist appointment next Friday please.,medium
Play relaxing music.,simple
Tell me a joke please.,simple
Play relaxing music please.,simple
Set a timer for 10 minutes please.,simple
Generate a report from SQL for Q1 and email it to the CFO.,complex
What’s the weather today?,simple
Draft an email based on the last conversation notes and send it to the VP.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Summarize the last 5 emails from Sarah and upload to OneDrive please.,complex
Create a to-do list for project launch.,medium
Send an email to my boss about the team update.,medium
Draft an email based on the last conversation notes and send it to the VP please.,complex
Book a meeting with Sarah and add it to my calendar please.,medium
Turn on the living room lights.,simple
Prepare a slide deck for Monday's meeting using this week's data.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Send an email to my boss about the team update please.,medium
Tell me a joke.,simple
Prepare a slide deck for Monday's meeting using this week's data please.,complex
Find all documents related to Q4 sales and share them with finance.,complex
Order groceries from my favorites please.,medium
Turn on the living room lights please.,simple
Send an email to my boss about the team update.,medium
Schedule a dentist appointment next Friday.,medium
Order groceries from my favorites.,medium
Find all documents related to Q4 sales and share them with finance please.,complex
Find all documents related to Q4 sales and share them with finance please.,complex
Send an email to my boss about the team update.,medium
Summarize the last 5 emails from Sarah and upload to OneDrive.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Prepare a slide deck for Monday's meeting using this week's data.,complex
Prepare a slide deck for Monday's meeting using this week's data please.,complex
Schedule a dentist appointment next Friday.,medium
Book a meeting with Sarah and add it to my calendar.,medium
Summarize the last 5 emails from Sarah and upload to OneDrive.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Set a timer for 10 minutes.,simple
Generate a report from SQL for Q1 and email it to the CFO please.,complex
Summarize the last 5 emails from Sarah and upload to OneDrive please.,complex
Play relaxing music please.,simple
Tell me a joke.,simple
Tell me a joke.,simple
Turn on the living room lights.,simple
Turn on the living room lights please.,simple
Generate a report from SQL for Q1 and email it to the CFO.,complex
Tell me a joke please.,simple
Order groceries from my favorites please.,medium
Schedule a dentist appointment next Friday please.,medium
Draft an email based on the last conversation notes and send it to the VP.,complex
Play relaxing music please.,simple
Create a to-do list for project launch please.,medium
Prepare a slide deck for Monday's meeting using this week's data please.,complex
Generate a report from SQL for Q1 and email it to the CFO.,complex
Schedule a dentist appointment next Friday please.,medium
Tell me a joke.,simple
Schedule a dentist appointment next Friday please.,medium
Set a timer for 10 minutes please.,simple
Prepare a slide deck for Monday's meeting using this week's data please.,complex
Generate a report from SQL for Q1 and email it to the CFO.,complex
Prepare a slide deck for Monday's meeting using this week's data.,complex
Book a meeting with Sarah and add it to my calendar.,medium
Generate a report from SQL for Q1 and email it to the CFO please.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Order groceries from my favorites.,medium
Generate a report from SQL for Q1 and email it to the CFO please.,complex
Book a meeting with Sarah and add it to my calendar please.,medium
Draft an email based on the last conversation notes and send it to the VP please.,complex
Order groceries from my favorites.,medium
Set a timer for 10 minutes.,simple
Schedule a dentist appointment next Friday.,medium
Prepare a slide deck for Monday's meeting using this week's data please.,complex
Book a meeting with Sarah and add it to my calendar.,medium
Summarize the last 5 emails from Sarah and upload to OneDrive.,complex
Schedule a dentist appointment next Friday.,medium
Set a timer for 10 minutes please.,simple
Book a meeting with Sarah and add it to my calendar.,medium
Play relaxing music.,simple
Find all documents related to Q4 sales and share them with finance.,complex
Play relaxing music.,simple
What’s the weather today?,simple
Create a to-do list for project launch.,medium
Book a meeting with Sarah and add it to my calendar please.,medium
Summarize the last 5 emails from Sarah and upload to OneDrive please.,complex
Schedule a dentist appointment next Friday please.,medium
Set a timer for 10 minutes.,simple
Prepare a slide deck for Monday's meeting using this week's data please.,complex
Create a to-do list for project launch.,medium
Generate a report from SQL for Q1 and email it to the CFO.,complex
Set a timer for 10 minutes.,simple
Order groceries from my favorites please.,medium
Schedule a dentist appointment next Friday.,medium
Generate a report from SQL for Q1 and email it to the CFO.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Schedule a dentist appointment next Friday.,medium
Send an email to my boss about the team update please.,medium
Find all documents related to Q4 sales and share them with finance.,complex
Send an email to my boss about the team update please.,medium
Order groceries from my favorites please.,medium
Summarize the last 5 emails from Sarah and upload to OneDrive.,complex
Summarize the last 5 emails from Sarah and upload to OneDrive.,complex
Set a timer for 10 minutes please.,simple
Prepare a slide deck for Monday's meeting using this week's data please.,complex
Turn on the living room lights.,simple
Draft an email based on the last conversation notes and send it to the VP please.,complex
Find all documents related to Q4 sales and share them with finance.,complex
Draft an email based on the last conversation notes and send it to the VP please.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Tell me a joke please.,simple
Create a to-do list for project launch please.,medium
What’s the weather today? please.,simple
Turn on the living room lights please.,simple
Set a timer for 10 minutes please.,simple
Set a timer for 10 minutes.,simple
Summarize the last 5 emails from Sarah and upload to OneDrive.,complex
Schedule a dentist appointment next Friday please.,medium
Tell me a joke please.,simple
Order groceries from my favorites.,medium
Draft an email based on the last conversation notes and send it to the VP please.,complex
Generate a report from SQL for Q1 and email it to the CFO please.,complex
Create a to-do list for project launch.,medium
Generate a report from SQL for Q1 and email it to the CFO please.,complex
What’s the weather today?,simple
Prepare a slide deck for Monday's meeting using this week's data please.,complex
Set a timer for 10 minutes please.,simple
What’s the weather today?,simple
Schedule a dentist appointment next Friday please.,medium
Prepare a slide deck for Monday's meeting using this week's data please.,complex
Draft an email based on the last conversation notes and send it to the VP.,complex
Draft an email based on the last conversation notes and send it to the VP please.,complex
Set a timer for 10 minutes.,simple
Turn on the living room lights please.,simple
Send an email to my boss about the team update please.,medium
Schedule a dentist appointment next Friday.,medium
Book a meeting with Sarah and add it to my calendar.,medium
Create a to-do list for project launch please.,medium
Set a timer for 10 minutes please.,simple
What’s the weather today?,simple
Set a timer for 10 minutes.,simple
Set a timer for 10 minutes please.,simple
Play relaxing music.,simple
Play relaxing music.,simple
Summarize the last 5 emails from Sarah and upload to OneDrive.,complex
Create a to-do list for project launch.,medium
Order groceries from my favorites please.,medium
Schedule a dentist appointment next Friday please.,medium
Book a meeting with Sarah and add it to my calendar.,medium
Play relaxing music please.,simple
Book a meeting with Sarah and add it to my calendar please.,medium
